"Kategorie A";14;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov"
"Bestwina";"Michal";;0;41;0
"BITTNER";"Jakub";"TJ Unièov";0;0;33
"BROŽ ";"Matìj";"Forman Cinelli";0;0;44
"Bubeník";"Jiøí";"M3B racing team";0;47;23
"BYRTUS";"Lukáš";"TJ TŽ Tøinec";0;0;24
"Cáb";"Martin";"Cyklokramo Suchdol nad Odrou ""A""";0;38;0
"ÈERNÝ";"Josef";"CCC Polkowice";0;0;50
"Diblík";"Jan";"Racing Olešná ""A""";0;40;21
"DROŽDŽ";"Tomáš";"BBG Prof. MTB";0;0;34
"DVORSKÝ";"DAVID";"Bauknecht Author";0;0;55
"Fierla";"Ondøej";"Team Forman Cinelli";0;58;30
"FRANCZAK";"Pawel";"Opole";0;0;60
"Grepl";"Radim";"Kolík& Hobby ""B""";0;0;0
"Hamáèek ";"Jaroslav";"ACS Drak Vrbno";36;0;0
"HLAVATÍK";"Jan";"Racing Olešná";0;0;25
"HUDEÈEK";"Petr";"Forman Cinelli";0;0;32
"CHRZANOWSKI";"Slawomir";"Chrzanowski sport";0;0;40
"Jakl";"Tomáš";"Triatlon klub Ostrava";0;50;39
"Kábrt";"Miloslav";"Cyklo Racing Team";50;0;0
"Keisler";"Jiøí";"SK Jiøí Team Ostrava";0;35;11
"Kokošek";"Oldøich";"Novatop Lapierre";39;0;0
"Kozák";"Pavel";"Cyklokramo Suchdol nad Odrou ""B""";0;0;0
"KOŽUŠNÍK";"Adam";"Forman Cinelli";0;0;29
"Kusidlo";"Mariusz";"Kolík& Hobby ""A""";55;60;0
"Kvarda";"Roman";"Racing Olešná";0;36;0
"Lant";"Antonín";"Team Forman Cinelli";0;56;27
"Machala";"Jan";"Cyklo TJ Píseèná";42;0;20
"Malejka";"Michal";"VKS Sokol KETY";0;54;37
"Malošík";"Jan";"CK Orlík orlová";0;0;0
"MAREK";"Miroslav";"Forman Cinelli";0;0;"DNF"
"Maták";"Andrej";"CK Kysuce";0;42;0
"Matula";"Lukáš";"FORCE KCK CYKLOTEAM ZLÍN";0;0;38
"Mayer";"Bronislav";"SK Prima Polièka";46;0;0
"MÍÈEK";"Ondøej";"Forman Cinelli";0;0;28
"Motyka";"Adam";"A Bike Club Ostrava";0;0;9
"Musiol";"Jakub";"YOGI Racing Ostrava 2";0;0;0
"Nepraš";"Karel";"ACK Stará Ves nad Ondøejnicí";0;65;48
"Nevídal";"Ondøej";"Bohuòovice";48;0;0
"PAC";"Pawel";"Opole";0;0;46
"PARMA";"Krzysztow";"AZS Lublin";0;0;"DNF"
"Pastušek";"Jan";"SK Maxbike Ostrava";44;0;0
"Pavlík";"Petr";"Racing Olešná ""A""";0;48;0
"Pavlík";"Jan";"Racing Olešná ""A""";0;43;26
"Pech";"David";"Triatlon klub Ostrava";34;37;13
"Poláèek";"Michal";"A Bike Club Ostrava";0;0;"DNF"
"Polášek";"Adam";"A Bike Club Ostrava";0;0;10
