"Kategorie A";14;;;;;;;;;;;;;;;;;;
"p¯ÌjmenÌ";"jmÈno";"klub";"Trispol";"MJF";"KrnKrit";"Ston»D";"Krnov";"TdS";"ArcMit";"Bahenec";"C.C.";"TdJ";"MAD";"SPAC";"MRSAC";"MRSAC";"GPF";"Stonava";"ML60"
"Babi·nek";"David";"MiKo Cycles";0;30;0;0;25;28;0;0;0;0;0;0;0;0;0;0;40
"Alickun";"Eduard";"Mikesz Team";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;"DNF"
"Barbo¯·k";"AntonÌn";"Team Forman Cinelli";0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0
"Bestwina";"Michal";;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Both ";"Martin";;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0
"BROKEä ";"Rostislav";"Team Forman Cinelli";0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0
"BubenÌk";"Ji¯Ì";"Cykloservis MB";37;27;0;0;14;0;39;44;44;44;35;48;52;44;16;60;30
"BUKSA ";"Dominik";"»esk· spo¯itelna Specialized";0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0
"Byrtus";"Luk·ö";"SkvÏl· kola-TJ Té T¯inec""A""";36;0;0;0;0;30;42;42;48;46;44;52;0;0;0;0;0
"C·b";"Martin";"Cyklokramo Suchdol nad Odrou ""A""";0;0;0;0;0;0;33;0;36;0;29;0;0;0;"DNF";0;0
"»ER ";"Tom·ö";"bikeStyle.cz";0;0;0;0;39;37;0;0;0;0;60;0;0;0;47;0;0
"»ERN› ";"Josef";"CCC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0
"DiblÌk";"Jan";"Racing Oleön· ""A""";0;15;0;0;5;19;0;0;0;0;0;0;0;0;0;0;0
"DuûÌk";"Josef";"A Bike Club Ostrava ""A""";44;48;37;0;30;38;46;40;39;42;"DNF";45;0;0;40;48;46
"Fierla";"Ond¯ej";"Team Forman Cinelli";0;46;50;0;60;40;48;60;60;60;0;70;0;0;43;58;0
"FIERLA ";"Jan";"CK Feso Pet¯vald";0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Figura";"Luk·ö";"YOGI Racing Ostrava 2";22;8;26;0;0;0;31;32;0;31;0;0;0;0;0;0;0
"FIOLKA ";"Marcin";"Fiolka Trens";0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0
"FOLTYN ";"Jakub";"K.S. Pogon Mostostal Pulawy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0
"GalatÌk";"Roman";"CK Continental Frenöt·t p.R.  1";46;0;38;0;37;0;55;48;50;0;50;50;0;0;0;70;0
"GRABIS ";"Mateusz";"Weltour Bedzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0
"GRUSZCZYK";"Pawel";"Author Pszczyna";34;36;0;0;28;23;0;0;0;0;0;0;0;0;0;0;48
"GRYGERA ";"Jan";"Corys team";0;0;0;0;15;32;0;0;0;0;0;0;0;0;0;0;0
"GRZEGORZ ";"Pawlak";;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0
"GRZEMPA";"Jan";"TC Orzel Rabka Zdroj";0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gubala";"Petr";"CK KolÌk Hobby BohumÌn ""A""";31;18;0;0;8;25;0;50;0;0;0;0;38;0;23;0;38
"GUCIEBA";"Karol";;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"GWIAZDA ";"Kamil";"Weltour Bedzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0
"H¡JEK ";"Adam";"novatop Lapierre";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"HAMPL";"VojtÏch";"CK P¯Ìbram";20;0;0;0;55;0;0;0;0;0;0;0;0;0;60;0;0
"Heczko";"Filip";"SkvÏl· kola-TJ Té T¯inec""A""";25;0;0;0;0;0;0;38;0;37;0;0;0;0;0;0;0
"Heinrich";"Luk·ö";"Bikestyle.Cz";0;0;0;0;0;0;0;0;0;0;46;0;0;0;31;0;0
"HORBACHUK ";"Ihor";"Weltour Bedzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0
"HORT";"Ji¯Ì";;0;24;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0
"Hradil";"Ji¯Ì";"FORCE KCK CYKLOTEAM ZLÕN";0;40;0;0;0;50;0;0;0;55;0;0;0;0;45;0;0
"Hradil";"Michal";"FORCE KCK CYKLOTEAM ZLÕN";0;33;0;0;0;0;0;0;0;0;"DNF";0;0;0;0;0;0
"HRACHOVINA";"Eduard";"Forman Cinneli";60;44;48;0;48;12;0;0;42;39;0;49;0;0;46;0;0
"HÿIV“ACK›";"Marek";"Quint bike";0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HUDE»EK";"Petr";"Forman Cinneli";32;0;40;0;21;31;0;0;0;0;0;0;0;0;49;0;0
"HYNEK ";"Matouö";"Mapei cyklo KaÚkovsk˝";0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0
"Jakl";"Tom·ö";"Lowell Pro äafrata Team BohumÌn";0;0;0;0;34;36;40;36;40;0;38;38;0;0;"DNF";56;0
"Janoöek";"Tom·ö";"ACK Star· Ves nad Ond¯ejnicÌ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"JASI“SKI ";"Martin";"Hup na kolo";0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0
"JAVŸREK ";"Martin";"AMENITY-EXTREM SPORT TEAM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0
"JEGIER ";"Mateusz";"Fiolka Trens";0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0
"KALITA ";"Tom·ö";"Mike Bike";0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0
"KASPEREK ";"Michal";"TC Chrobry Glogow";0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0
"Klezla";"Martin";"2K-BIKE CLUB Odry";0;0;0;0;7;20;0;34;34;35;30;0;0;0;"DNF";46;32
"KLOS";"Viktor";"Bagbike";0;28;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0
"KLUKOSZOWSKI ";"Piotr";"Grupa Kolarska Gliwice Bike";0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"KOCI¡N ";"Daniel";"HUP NA KOLO. CZ";0;0;0;0;13;17;0;0;0;0;0;0;0;0;0;0;0
"Koci·n";"Tom·ö";"Lhota u Opavy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
"KOKEä ";"Michael";"Ghost";0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
"KORYCZAN";"Adam";"Author Pszczyna";39;32;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0
"KOéUäNÕK";"Adam";"Forman Cinneli";0;0;42;0;0;27;0;0;0;0;0;"DNF";0;0;58;0;0
"KraËalÌk";"Tom·ö";"tandem - nevidom˝";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0
"Kras";"Dariusz";"Dar-Bud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
"KRHUT";"Martin";"SK Bagbike";0;20;0;0;24;0;0;0;0;0;0;0;0;0;35;0;39
"KUBALA ";"Petr";"CK KolÌk HOBBY";0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0
"Kubica ";"Jozef";"Polsko Markowice";0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kubica ";"Roman";"SK Ji¯Ì Team Ostrava";0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"KUCEWICZ ";"Michal";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0
"KUCIEBA";"Karol";;"DNF";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kusidlo";"Mariusz";"CK KolÌk Hobby BohumÌn ""A""";0;34;0;0;29;39;35;0;0;0;48;47;45;50;29;54;55
"LANT";"AntonÌn";"Forman Cinelli";0;60;"DNF";0;40;55;60;0;0;0;0;42;0;0;27;0;0
"LAS¡K ";"MatÏj";"MAX CURSOR OSTRAVA";0;0;60;0;0;60;0;0;0;0;0;0;0;0;0;0;0
"Luköa";"David";;0;0;0;0;0;0;0;0;0;0;29;0;0;0;12;0;0
"MAJ ";"Rafal";"Fiolka Trens";0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0
"Mal·tek";"VojtÏch";"CK Feso Pet¯vald";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
"MaloöÌk";"Jan";"CK OrlÌk Orlov·";0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MAREK";"Jaroslav";"Ck Continental Frenöt·t p. R.  1";0;0;"DNF";0;0;29;44;0;0;0;0;0;0;0;0;0;0
"MAREK";"Miroslav";"Forman Cinelli";0;21;30;0;0;24;34;0;0;0;42;41;0;0;0;0;37
"Matula";"Luk·ö";"FORCE KCK CYKLOTEAM ZLÕN";55;50;0;0;46;48;50;46;0;48;55;60;65;65;56;65;60
"MÕ»EK";"Ond¯ej";"Forman Cinelli";0;16;39;0;0;"DNF";0;0;0;0;0;0;0;0;0;0;0
"MiËinec";"Jan";"ACK Star· Ves nad Ond¯ejnicÌ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MLYN¡ÿ ";"zdenÏk";"Bohemia cycling tream";0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0
"Motyka";"Patrik";"A Bike Club Ostrava ""B""";0;9;27;0;6;16;29;31;29;32;"DNF";35;0;0;"DNF";44;33
"Motyka";"Adam";"A Bike Club Ostrava ""A""";27;35;33;0;18;21;37;37;31;36;31;37;0;0;0;0;31
"Musiol";"Jakub";"YOGI Racing Ostrava 2";0;0;28;0;0;0;0;0;0;33;0;34;0;0;13;0;0
"NASET";"Jan";"In Life Cycling Team";24;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0
"Nepraö";"Karel";"ACK Star· Ves nad Ond¯ejnicÌ";50;39;46;0;0;35;0;0;0;0;0;0;0;0;36;0;0
"NEVÕDAL";"Ond¯ej";"BohuÚovice";40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSTRYSZ ";"Szymon";"Fiolka Trens";0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0
"Pac";"Pawel";"Fiolka Trens";0;0;44;0;0;0;0;0;0;0;0;46;0;0;0;0;0
"PAPULA ";"Luk·ö";"TJ UniËov";0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0
"PARMA";"Krzysztof";"SANBank";0;17;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0
"PavlÌk";"Petr";"Racing Oleön· ""A""";0;0;0;0;0;0;32;0;0;0;0;0;0;0;14;50;36
"PavlÌk";"Jan";"Racing Oleön· ""A""";0;22;0;0;0;22;39;0;38;38;37;43;0;0;0;0;0
"PAWLAK";"Grzegorz";"Author Pszczyna";0;55;0;0;42;0;0;0;0;0;0;0;0;0;0;0;50
"Peöek ";"Radim";"A Bike Club Ostrava ""B""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PL¡äEK ";"Tom·ö";"All Training";0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0
"PLUNDR¡K";"David";"Cyklo TJ PÌseËn·";33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pol·Ëek";"Michal";"A Bike Club Ostrava ""B""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0
"Pol·öek";"Adam";"A Bike Club Ostrava ""B""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PREJDA ";"V·clav";"SK Ji¯Ì Team Ostrava";0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0
"PRUCIAK";"Rafal";;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PYTEL ";"jaromÌr";"SK Bagbike";0;0;0;0;27;34;0;0;0;0;0;0;0;0;37;0;44
"Reichel";"Sebastian";"Cyklistika pro vöechny Krnov";0;0;0;0;0;0;0;33;30;0;"DNF";0;0;0;24;52;35
"ROHEL";"B¯etislav_ml";"Bikestyle.cz";0;42;0;0;0;0;0;0;0;0;"DNF";0;0;0;0;0;0
"SALAMON";"Marek";"CK Feso Pet¯vald";0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SAS ";"Kryötof";"Mountaintime.cz";0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0
"SATKE ";"Tom·ö";"bikecentrum olomouc";0;0;0;0;36;0;0;0;0;0;0;0;0;0;39;0;0
"SEDL¡»EK";"Marek";"SK Ji¯Ì team Ostrava";0;38;29;0;0;15;0;0;0;0;0;0;0;0;0;0;0
"Stola¯Ìk";"Tom·ö";"SK Ji¯Ì Team Ostrava";0;0;0;0;0;0;0;0;33;0;33;"DNF";0;0;32;0;0
"SVÃNT› ";"Radek";"Bikomatic";0;0;0;0;35;33;0;0;0;0;0;0;0;0;0;0;0
"SvrËina";"Karel";"KC Hlinsko";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
"SZCZEPANOWSKI";"Bartosz";"Experiment 23";0;0;55;0;44;0;0;0;0;0;0;0;0;0;0;0;0
"SWACZYNA";"Petr";"CK Feso Pet¯vald";35;12;0;0;23;42;0;0;0;0;0;54;0;0;48;0;0
"Szlauer";"David";"SkvÏl· kola-TJ Té T¯inec  ""B""";21;8;0;0;3;0;0;0;0;0;0;31;0;0;0;0;0
"Szymanski";"Patrik";"Grupa Kolarska Gliwice Bike";0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"äkoda";"Kristi·n";"CK Continental Frenöt·t p.R.  1";28;37;0;0;0;0;0;35;32;40;34;0;0;0;17;45;0
"äkuta ";"Vlastimil";"CK KolÌk Hobby BohumÌn""B""";0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;28
"ämedek";"Josef";"SILVINI CYCLING TEAM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0
"äR¡MEK";"VÌt";"Majnl dance hall";0;0;"DNF";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Toman";"Ji¯Ì";"Forman Cinelli";0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Tomek";"Josef";"Experiment 23";0;0;"DNF";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"URB¡äEK ";"Jan";"Experiment 23";0;0;0;0;26;0;0;0;0;0;0;0;0;0;52;0;0
"VAäç¡K";"VÌt";"SK Ji¯Ì Team Ostrava";19;0;25;0;4;0;0;30;0;0;0;0;0;0;0;0;0
"VAVRE»KA ";"Ji¯Ì";"Quint bike";0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
