Kategorie A;12;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Bílovec;KrnKrit;BohÈas
Babiánek;David;IN-LIFE Cycling Team/Puskinak.cz;0;44;50;0;50
Borák;Martin;IN-LIFE Cycling Team/Puskinak.cz;0;0;0;0;0
Bubeník;Jiøí;Cykloservis MB;0;0;0;0;38
Bulawa;David;TJ T Tøinec;33;0;0;0;0
Byrtus;Lukáš;TJ T Tøinec;39;20;38;0;48
Èernı;Viktor;CK Continental Frenštát p. R.  1;0;15;0;39;0
Dluhı ;Martin;CK Continental Frenštát p. R.  1;0;0;0;0;31
Haladus;Szymon;Cyklosport HF Opava-Bikestyle.cz;30;27;33;32;36
Haltof;Tomáš;;0;9;0;0;32
Hruška;Daniel;Cyklokramo Suchdol nad Odrou;0;23;31;0;34
Chodyniecki; Piotr;Cyklosport HF Opava-Bikestyle.cz;55;50;60;46;0
Janák;Lukáš;CK Continental Frenštát p. R.  1;0;0;0;0;0
Jarma;Ctirad;IN-LIFE Cycling Team/Puskinak.cz;0;0;0;0;0
Josefík;Martin;FORCE KCK ZLÍN;0;0;0;0;0
Kalita;Tomáš;SK Bagbike;0;22;39;0;0
Koneènı ; Dalibor;KILPI RACING TEAM OSTRAVA ;0;25;48;33;46
Koøínek;Tomáš;CK Continental Frenštát p. R.  1;32;17;0;0;0
Lukša;David;Cyklokramo Suchdol nad Odrou;38;31;34;0;0
Malatek;Vojtìch;CK Orlík Orlová;0;0;0;0;0
Marek;Jaroslav;CC La´DRACO;0;0;0;0;0
Míèek;Ondøej;CC La´DRACO;0;0;0;0;0
Motyka;Adam;KILPI RACING TEAM OSTRAVA ;0;0;0;0;0
Nepraš;Karel;ACK Stará Ves nad Ondøejnicí;0;0;0;0;0
Odvárka;Ivo;FORCE KCK ZLÍN;37;19;40;27;44
Pavlíèek ;Vojtìch;ACK Stará Ves nad Ondøejnicí;0;39;0;0;0
Pavlík;Petr;Racing Olešná ;0;0;0;0;33
Poláèik;Martin;CK Continental Frenštát p. R.  1;0;0;0;0;0
Satke;Tomáš;IN-LIFE Cycling Team/Puskinak.cz;0;0;0;0;0
Schichel;Jakub;ACK Stará Ves nad Ondøejnicí;0;0;0;0;0
Stolaøík;Tomáš;Lowell Pro Šafrata Team Bohumín;0;33;0;0;0
Škoda;Kristián;CK Continental Frenštát p. R.  2;36;36;36;0;0
Vávra ;Marek;ACK Stará Ves nad Ondøejnicí;0;28;46;44;0
Vlèek;Pavel;IN-LIFE Cycling Team/Puskinak.cz;0;11;0;0;0
;;;;;;;
Kategorie B;12;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Bílovec;KrnKrit;BohÈas
Bollo;Roman;YOGI Racing Ostrava 1;0;32;0;0;30
Dohnal;Tomáš;Cyklokramo Suchdol nad Odrou ;0;0;0;0;31
Ïurica;Jiøí;;0;0;0;0;27
Duík;Josef;CK Continental Frenštát p. R.  1;60;44;27;40;46
Foltın;Jiøí;CK Kolík Hobby Bohumín B;0;29;0;0;28
Fryc;Bohdan;KILPI RACING TEAM OSTRAVA ;37;24;31;0;29
Grigorescu;Lubor;;0;0;0;0;0
Gruchala;Vojtìch;Lowell Pro Šafrata Team Bohumín;0;0;0;0;0
Haltof;Aleš;;0;35;0;0;36
Heinrich;Lukáš;Cyklosport HF Opava-Bikestyle.cz;44;37;0;48;0
Hendrych;David;Cyklosport HF Opava-Bikestyle.cz;0;21;0;0;0
