"Kategorie A";14;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov";"M.J.F.";"TdS"
"Bestwina";"Michal";;0;41;0;42;23
"Babiánek";"David";"Miko Cycles";0;0;0;0;50
"BITTNER";"Jakub";"TJ Unièov";0;0;33;0;0
"BROŽ ";"Matìj";"Forman Cinelli";0;0;44;60;0
"Bubeník";"Jiøí";"M3B racing team";0;47;23;30;"DNF"
"BYRTUS";"Lukáš";"TJ TŽ Tøinec";0;0;24;"DNF";0
"Cáb";"Martin";"Cyklokramo Suchdol nad Odrou ""A""";0;38;0;0;19
"ÈERNÝ";"Josef";"CCC Polkowice";0;0;50;0;0
"Diblík";"Jan";"Racing Olešná ""A""";0;40;21;31;25
"DROŽDŽ";"Tomáš";"BBG Prof. MTB";0;0;34;0;0
"DVORSKÝ";"DAVID";"Bauknecht Author";0;0;55;0;0
"Dužík";"Josef";"Cube-Lightbike";0;0;0;34;32
"Fierla";"Ondøej";"Team Forman Cinelli";0;58;30;26;0
"FRANCZAK";"Pawel";"Opole";0;0;60;0;0
"Franej";"Juraj";"Fincentrum";0;0;0;0;"DNF"
"Furczyk";"Maciej";"Sokol Kenty";0;0;0;0;46
"Gábor";"Mario";"Šilheøovice";0;0;0;19;0
"Grepl";"Radim";"Kolík& Hobby ""B""";0;0;0;0;0
"Hajdyla";"Wojciech";"Polsko";0;0;0;0;20
"Hamáèek ";"Jaroslav";"ACS Drak Vrbno";36;0;0;0;0
"HLAVATÍK";"Jan";"Racing Olešná";0;0;25;25;0
"Høivòacký";"Marek";"Novatop lapiere";0;0;0;35;37
"HUDEÈEK";"Petr";"Forman Cinelli";0;0;32;0;0
"CHRZANOWSKI";"Slawomir";"Chrzanowski sport";0;0;40;0;0
"Jakl";"Tomáš";"Triatlon klub Ostrava";0;50;39;44;28
"Kábrt";"Miloslav";"Cyklo Racing Team";50;0;0;0;36
"Keisler";"Jiøí";"SK Jiøí Team Ostrava";0;35;11;21;0
"Kokošek";"Oldøich";"Novatop Lapierre";39;0;0;0;34
"Kozák";"Pavel";"Cyklokramo Suchdol nad Odrou ""B""";0;0;0;0;0
"KOŽUŠNÍK";"Adam";"Forman Cinelli";0;0;29;27;0
"Kucewicz";"Michal Jan";"IC Katowice";0;0;0;0;29
"Kucieba";"Karol Michal";"IC Katowice";0;0;0;0;30
"Kusidlo";"Mariusz";"Kolík& Hobby ""A""";55;60;0;39;40
"Kvarda";"Roman";"Racing Olešná";0;36;0;22;0
"Lant";"Antonín";"Team Forman Cinelli";0;56;27;0;0
"Lasák";"Matìj";"MAX CURSOR";0;0;0;0;60
"Machala";"Jan";"Cyklo TJ Píseèná";42;0;20;0;0
"Malejka";"Michal";"VKS Sokol KETY";0;54;37;0;31
"Malošík";"Jan";"CK Orlík orlová";0;0;0;0;0
"MAREK";"Miroslav";"Forman Cinelli";0;0;"DNF";36;0
"Maták";"Andrej";"CK Kysuce";0;42;0;0;0
"Matula";"Lukáš";"FORCE KCK CYKLOTEAM ZLÍN";0;0;38;0;55
"Mayer";"Bronislav";"SK Prima Polièka";46;0;0;0;0
"MÍÈEK";"Ondøej";"Forman Cinelli";0;0;28;29;0
"Motyka";"Adam";"A Bike Club Ostrava";0;0;9;28;17
"Musiol";"Jakub";"YOGI Racing Ostrava 2";0;0;0;0;0
"Nepraš";"Karel";"ACK Stará Ves nad Ondøejnicí";0;65;48;40;48
"Nevídal";"Ondøej";"Bohuòovice";48;0;0;0;0
"Novák ";"Patrik";"Novatop lapiere";0;0;0;38;"DNF"
"Novák ";"Vlastimil   ";"Vsetín";0;0;0;37;33
"PAC";"Pawel";"Opole";0;0;46;0;0
"PARMA";"Krzysztow";"AZS Lublin";0;0;"DNF";32;35
"Pastušek";"Jan";"SK Maxbike Ostrava";44;0;0;0;0
"Pavlík";"Petr";"Racing Olešná ""A""";0;48;0;55;26
"Pavlík";"Jan";"Racing Olešná ""A""";0;43;26;0;0
"Pawlas";"Jakub";"èistý sport";0;0;0;"DNF";0
"Pech";"David";"Triatlon klub Ostrava";34;37;13;0;0
"Poláèek";"Michal";"A Bike Club Ostrava";0;0;"DNF";18;24
"Polášek";"Adam";"A Bike Club Ostrava";0;0;10;"DNF";0
"Pruciak";"Rafal";"Dobre sklepy ROWEROWE AUTHOR";0;0;0;0;27
"Reichel";"Sebastian";"Cyklistika pro všechny Krnov";38;44;19;0;0
"Rut";"Ondøej";"Triatlon klub Ostrava";0;0;0;"DNF";0
"Salamon";"Marek";"CK Feso Petøvald";0;39;12;20;0
"Sas";"Kryštof";"Novatop Lapierre";37;0;0;48;44
"SLONINA";"Ludìk";"Lokomotiva Krnov";0;0;18;0;0
"STOLAØÍK";"Tomáš";"sk Jiøí team";0;0;36;46;38
"SVÌNTÝ";"Radek";"Èeská spoøitelna Spez.";0;0;35;0;0
"Swaczyna";"Petr";"CK Feso Petøvald";60;0;42;33;0
"Škoda";"Kristián";"CK Continental Frenštát p. R. ""A""";40;46;17;24;39
"Škuta ";"Vlastimil   ";"Kolík& Hobby ""C""";0;0;0;0;0
"Šmedek";"Josef";"SK SENTIDO Karviná";0;34;0;0;0
"Štainer";"Pavel";"SK Valašského království";36;49;15;0;0
"TOMAN";"Jiøí";"Forman Cinelli";0;0;"DNF";0;0
"TOMEK";"Josef";"Experiment 26";0;0;"DNF";0;0
"Velecký";"Tomáš";"YOGI Racing Ostrava 1";0;0;0;0;0
"VYBÍRAL";"Lukáš";"Cykoteam kolárna";0;0;16;0;0
"Waligóra";"Kamil Maciej";"Sokol Kenty";0;0;0;0;22
"Willmann";"Filip";"A Bike Club Ostrava";"DNF";0;14;23;21
"Záruba";"Petr";"ACK Stará Ves nad Ondøejnicí";0;70;31;50;42
"Záruba";"Pavel";"ACK Stará Ves nad Ondøejnicí";0;45;22;0;18
;;;;;;;
"Kategorie B";14;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov";"M.J.F.";"TdS"
"Adámek";"Lukáš";;50;50;40;33;39
"Androsz";"Michal";"Rybnik";40;0;26;0;24
"Babán";"Marcel";"M3B racing team";48;70;34;38;0
"Balica";"Lukáš";"Racing Olešná ""B""";0;34;0;0;0
"Beneš";"Daniel";"SK VEHA TEAM";0;49;0;0;25
"Beníèek";"Tomáš";"CK Continental Frenštát p. R. ""B""";0;0;15;16;0
"Body";"Marcel";"Novatop Lapiere";0;0;0;25;0
"Boleslav";"Zaras";"UKS SOKOL KETY";0;35;0;0;0
"Bollo";"Roman";"YOGI Racing Ostrava 1";0;0;0;0;0
"Bucháèek";"Tomáš";"Bajuknecht";0;0;0;0;60
"Byrtus";"Ivo";"MH Bike";0;0;0;0;18
"Cieluch";"Marcin Wincentys";"Gedore Cycleing team";0;0;0;0;55
"CIGÁNEK";"Antonín";"SK SKIVELO nesl. OLOMOUC";0;0;31;0;0
"Ciszek ";"Lukasz";;0;0;0;0;16
"Èermák ";"Jan";"SK Bagbike";0;0;0;29;21
"Èervený";"Lukáš";"Baník Karviná";0;0;0;0;0
"Dohnal";"Tomáš";"Cyklokramo Suchdol nad Odrou ""B""";0;0;0;0;0
"Domanski";"Libor";"Bøežany 2";46;0;0;0;0
"Dužík";"Artur";"M3B racing team";0;0;0;0;0
"Foltýn";"Jiøí";"Kolík& Hobby ""A""";42;54;19;39;42
"Fryc";"Bohdan";"A Bike Club Ostrava";0;36;0;"DNF";19
"Gierc";"David";;0;0;0;0;0
"Goraus";"Tomasz";"Krupinski Suszec Pro-Kan";0;0;0;60;0
"GRIGORESCU";"Lubor";"Superior Rides";0;0;33;26;32
"Grošek";"Luboš";"A Bike Club Ostrava";0;38;18;21;37
"Gruchala";"Vojtìch";"Triatlon klub Ostrava";36;41;17;22;0
"Gryel";"Pavel";"TJ Kolík Bohumín";0;0;0;18;0
"Harabiš";"Radim";"SK Valašského království";0;0;0;0;0
"HEINRICH";"Lukáš";"Bike Style";0;0;"DNF";0;0
"Hejneš";"Leopold";"M3B racing team";39;0;0;0;20
"HELONA";"Radek";"CREDITAS Olomouc";0;0;"DNF";0;0
"Hlawiczka";"Martin";"skvelakola.cz";0;37;23;27;29
"Holona";"Martin";"HPEL TEAM";0;33;0;0;0
"Hulboj";"René";"TJ TŽ Tøinec";0;39;0;0;0
"Chamrád";"Jiøí";;0;0;46;35;46
"Javorek";"Petr";"CK Feso Petøvald";55;43;60;19;48
"Jirásek";"Josef";"SK  MAXBIKE";0;0;0;0;"DNF"
"Jureèka";"Roman";"CK Continental Frenštát p. R. ""B""";37;52;28;"DNF";27
"Kajnar ";"Tomáš";"NUTREND SPECIALIZED Cycling team";60;0;42;0;0
"Klášterka";"Tomáš";"CK Continental Frenštát p. R. ""A""";0;65;44;44;0
"KOCOUREK";"František";"SK SKIVELO nesl. OLOMOUC";0;0;"DNF";0;0
"Kocurek ";"Jaroslav";"Klub VRV Vsetín";0;60;29;40;"DNF"
"Koláèek";"Petr";"CK Feso Petøvald";0;48;36;34;0
"Kolesár";"Radek";"Kolík& Hobby ""B""";0;0;0;0;0
"Kotas";"Wieslaw";"TJ TŽ Tøinec";0;0;35;0;0
"KOUØIL";"Martin";"Kolokrám";0;0;55;0;0
"Kovaøík ";"Roman  ";"Kolík& Hobby ""C""";0;0;0;0;"DNF"
"Král";"Martin";"YOGI Racing Ostrava 2";0;0;0;0;0
"Krhut";"Martin";"M3B racing team";0;0;0;0;0
"Kroll";"Andrzej";"skvelakola.cz";0;32;0;0;15
"Krùpa";"Zdenìk";"CK Continental Frenštát p. R. ""B""";0;0;0;0;0
"Kubánek";"Martin";"Lowell Pro Šafrata Team Bohumín";0;0;0;31;23
"Kuèera ";"Marek";"M3B racing team";0;0;0;0;0
"KULA";"Tomáš";"KULOK";0;0;"DNF";0;17
"Macháè";"Miroslav";"ACS DRAK VRBNO";34;0;16;0;0
"Maranèák";"Jaroslav";"Vsetín";0;47;0;0;0
"Martinák";"Tomáš";"SK Valašského království";0;0;0;0;0
"Mazurek";"Patryk";;0;0;0;0;22
"MIKA";"Rafajel";"Mikesz team";0;0;27;0;0
"Mitrenga";"Petr";"skvelakola.cz";0;45;25;23;26
"Mlynáø";"Vlastík";"ACS DRAK VRBNO";0;0;21;0;33
"Naiser";"Tomáš";"BikeOne";"DNF";0;0;0;0
"PECHÁÈEK";"Adam";"Lowell Pro Šafrata Team Bohumín";0;0;38;48;40
"PETRØÍK";"Zdenìk";"Krnov";0;0;37;0;0
"Pietrzak";"Pawel";"Krupinski Suszec Pro-Kan";0;0;0;32;0
"Pietrzyk";"Vratislav";"Yogi Racing";0;56;50;55;50
"Podhorný";"Jarmil";"YOGI Racing Ostrava 2";0;0;0;0;0
"Povala";"Roman";"CK Continental Frenštát p. R. ""A""";35;46;24;0;"DNF"
"Pøichystal";"Lukáš";"All Training.cz";44;0;0;0;0
"Pytel";"Jaromír";"M3B racing team";0;0;0;50;44
"Rábl ";"Martin";"SK Bagbike";0;0;0;36;34
"Schnerch";"Martin";"skvelakola.cz";38;44;22;30;28
"Sekta";"Rafat";"Krupinski Suszec Pro-Kan";0;0;0;24;0
"Sikora";"Tomáš";"ACK Stará Ves nad Ondøejnicí";0;0;0;0;0
"SMRKTA";"Ladislav";"Silný team Unièov";0;0;39;0;0
"Stanèík";"Martin";"CK Continental Frenštát p. R. ""B""";0;0;0;0;0
"Stanìk";"Pavel";"Cyklosport Pøikryl Stará Ves n. Ondøejnicí";"DNF";42;32;0;0
"SURMA";"Piotr";"Mikesz team";0;0;30;0;0
"Šenkeøík";"Jan";"FORCE KCK CYKLOTEAM ZLÍN";0;0;48;37;38
"Šopík";"Vítìzslav";"Duko Rýmaøov";33;0;0;0;0
"Štec";"Josef";"Cyklokramo Suchdol nad Odrou ""B""";0;0;0;0;0
"Teslík";"Petr";"Yogi Racing Team Ostrava";0;40;0;0;0
"Toman";"Petr";"Team Forman Cinelli";0;0;0;20;0
"Uvíra";"Václav";"CK Orlík Orlová";0;58;0;46;0
"Vilášek";"Michael";"Novatop Lapierre";0;0;0;0;31
"VRABEL";"David";"SK  MAXBIKE";0;0;20;28;30
"Wajda ";"Viktor";"Boh Kopstov";0;0;0;17;0
