"Kategorie A";14;;1
"pøíjmení";"jméno";"klub";"Trispol"
"Bubeník";"Jiøí";"M3B racing team";0
"Cáb";"Martin";"Cyklokramo Suchdol nad Odrou ""A""";0
"Diblík";"Jan";"Racing Olešná ""A""";0
"Grepl";"Radim";"Kolík& Hobby ""B""";0
"Hamáèek ";"Jaroslav";"ACS Drak Vrbno";36
"Jakl";"Tomáš";"Triatlon klub Ostrava";0
"Kábrt";"Miloslav";"Cyklo Racing Team";50
"Kokošek";"Oldøich";"Novatop Lapierre";39
"Kozák";"Pavel";"Cyklokramo Suchdol nad Odrou ""B""";0
"Kusidlo";"Mariusz";"Kolík& Hobby ""A""";55
"Machala";"Jan";"Cyklo TJ Píseèná";42
"Malošík";"Jan";"CK Orlík orlová";0
"Maták";"Andrej";"CK Kysuce";0
"Matula";"Lukáš";"FORCE KCK CYKLOTEAM ZLÍN";0
"Mayer";"Bronislav";"SK Prima Polièka";46
"Motyka";"Adam";"A Bike Club Ostrava";0
"Musiol";"Jakub";"YOGI Racing Ostrava 2";0
"Nepraš";"Karel";"ACK Stará Ves nad Ondøejnicí";0
"Nevídal";"Ondøej";"Bohuòovice";48
"Pastušek";"Jan";"SK Maxbike Ostrava";44
"Pavlík";"Petr";"Racing Olešná ""A""";0
"Pavlík";"Jan";"Racing Olešná ""A""";0
"Pech";"David";"Triatlon klub Ostrava";34
"Poláèek";"Michal";"A Bike Club Ostrava";0
"Polášek";"Adam";"A Bike Club Ostrava";0
"Reichel";"Sebastian";"Cyklistika pro všechny Krnov";38
"Sas";"Kryštof";"Novatop Lapierre";37
"Swaczyna";"Petr";"CK Feso Petøvald";60
"Škoda";"Kristián";"CK Continental Frenštát p. R. ""A""";40
"Štainer";"Pavel";"SK Valašského království";36
"Velecký";"Tomáš";"YOGI Racing Ostrava 1";0
"Willmann";"Filip";;"DNF"
"Záruba";"Petr";"ACK Stará Ves nad Ondøejnicí";0
"Záruba";"Pavel";"ACK Stará Ves nad Ondøejnicí";0
;;;
"Kategorie B";14;;1
"pøíjmení";"jméno";"klub";"Trispol"
"Adámek";"Lukáš";;50
"Androsz";"Michal";"Rybnik";40
"Babán";"Marcel";"M3B racing team";48
"Balica";"Lukáš";"Racing Olešná ""B""";0
"Beníèek";"Tomáš";"CK Continental Frenštát p. R. ""B""";0
"Bollo";"Roman";"YOGI Racing Ostrava 1";0
"Èervený";"Lukáš";"Baník Karviná";0
"Dohnal";"Tomáš";"Cyklokramo Suchdol nad Odrou ""B""";0
